Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
Vauxhall,Corsa,2025,1,2025 (74 reg),Auto,Electric,Barnsley ,17730,1.6,5,Unknown,- 100kW Yes 50kWh Auto,9.783069799056989
Volkswagen,Polo,2018,80,2018 (18 reg),Auto,Petrol,Wakefield ,11995,2.0,5,Euro 6 (s/s),TSI GTI Hatchback Petrol DSG (200 ps),9.392328539868899
Volvo,EX30,2025,15,2025 (25 reg),Auto,Electric,Bradford ,30850,1.6,5,Unknown,"Plus Single Motor Extended Range (Park Camera, Harman/Kardon, Heated Seats)",10.336924443719042
Ford,Fiesta,2011,154,2011 (11 reg),Manual,Diesel,Sheffield ,1695,1.6,5,Unknown,TDCi DPF Titanium,7.4360278163518485
Audi,Q7,2015,84,2015 (65 reg),Auto,Diesel,Ossett ,17495,3.0,5,Unknown,- TDI Quattro S Line Tip Auto,9.769727562356604
Ford,Focus,2015,59,2015 (15 reg),Auto,Petrol,Swinton ,7250,1.6,5,Unknown,- Titanium Navigation Automatic A/C,8.888894669371593
Ford,Focus,2018,93,2018 (18 reg),Manual,Diesel,Yeadon ,5995,1.5,5,Euro 6 (s/s),TDCi Zetec Edition,8.698847859222488
Vauxhall,Grandland X,2020,75,2020 (70 reg),Manual,Diesel,Rotherham ,7990,1.5,5,Unknown,Turbo D SRi Nav,8.986071187374463
BMW,X5,2023,30,2023 (72 reg),Auto,Diesel,Oldham ,44749,3.0,5,Euro 6 (s/s),30d MHT M Sport SUV Diesel Hybrid Auto xDrive (286 ps),10.708846723703001
Peugeot,2008,2024,992,2024 (74 reg),Auto,Petrol,BARNSLEY ,21628,1.2,5,Euro 6,- Puretech Gt Suv Petrol Eat s/s 130 Ps,9.981790285793302
Jeep,Compass,2018,60,2018 (68 reg),Manual,Petrol,Leeds ,8680,1.4,5,Euro 6 (s/s),MultiAirII Longitude,9.068892008391808
Nissan,Juke,2025,3,2025 (25 reg),Auto,Petrol,Rochdale ,25914,1.0,5,Unknown,- DIG-T 114 TEKNA DCT,10.162577230623807
Skoda,Superb,2021,123,2021 (71 reg),Manual,Diesel,Keighley ,9989,2.0,5,Euro 6 (s/s),TDI SE L,9.2093398716426
BMW,1 Series,2019,33,2019 (19 reg),Auto,Petrol,Bradford ,22990,1.6,3,Unknown,M140i [Nav] Step Auto,10.042858113983936
Hyundai,Santa Fe,2012,110,2012 (12 reg),Auto,Diesel,Sheffield ,4190,2.2,5,Euro 5,CRDi Premium Auto 4WD (5 seat),8.340694647925071
Tesla,Model Y,2022,25,2022 (72 reg),Auto,Electric,Oldham ,25999,1.6,5,Unknown,(Dual Motor) Long Range SUV Electric Auto 4WDE (384 bhp),10.165851817003619
BMW,M5,2015,60,2015 (65 reg),Auto,Petrol,Wakefield ,22495,4.4,4,Euro 6 (s/s),V8 Saloon Petrol DCT (560 ps),10.021092794610391
Audi,Q3,2014,51,2014 (14 reg),Auto,Petrol,Leeds ,12695,2.0,5,Euro 5 (s/s),TFSI S line Plus SUV Petrol S Tronic quattro (211 ps),9.449042262206245
Volkswagen,Golf,2019,58,2019 (19 reg),Auto,Petrol,"Leeds, Morley, Gildersome ",21495,2.0,5,Euro 6 (s/s),TSI GTI Performance DSG,9.975622150295328
Chrysler,Ypsilon,2013,39,2013 (13 reg),Manual,Petrol,Mexborough ,3295,1.2,5,Unknown,SE,8.100464891029363
SEAT,Leon,2015,80,2015 (65 reg),Auto,Diesel,Brighouse ,8290,2.0,5,Unknown,TDI FR DSG,9.022925868116218
Volvo,EX30,2024,25,2024 (74 reg),Auto,Electric,Doncaster ,31500,1.6,5,Unknown,"- Plus, Twin Motor Performance, Electric",10.357774570341576
Honda,ZR-V,2025,10,2025 (25 reg),Auto,Hybrid,Bradford ,29995,2.0,5,Unknown,eHEV Elegance CVT Hybrid Estate,10.30881931842128
Ford,Focus,2015,32,2015 (65 reg),Auto,Petrol,Castleford ,8490,1.6,5,Unknown,- 125 Titanium Powershift -1 FORMER KEEPER-,9.046762057999363
Peugeot,508,2014,102,2014 (64 reg),Manual,Diesel,Bradford ,2995,2.0,4,Euro 5,HDi Allure,8.005033344637111
MG,MG HS,2025,5,2025 (25 reg),Manual,Petrol,Leeds ,22498,1.5,5,Unknown,- T-GDI SE,10.021226142760383
Renault,Captur,2020,67,2020 (70 reg),Manual,Petrol,Sheffield ,9499,1.6,5,Unknown,Iconic TCe 130,9.159047077588632
Peugeot,5008,2014,61,2014 (63 reg),Manual,Diesel,Castleford ,5290,1.6,5,Unknown,- HDi 115 Allure -1 FORMER KEEPER-,8.57376254290413
Peugeot,5008,2020,102,2020 (20 reg),Auto,Petrol,Keighley ,11989,1.2,5,Euro 6 (s/s),PureTech Allure EAT,9.39182824802156
Fiat,500,2009,79,2009 (59 reg),Manual,Petrol,Yeadon ,3495,1.4,3,Euro 5 (s/s),Lounge,8.159374736775426
Ford,Focus,2024,6,2024 (74 reg),Auto,Petrol,Leeds ,21399,1.0,5,Unknown,- Ecoboost Hybrid Mhev 155 Titanium Auto,9.971146201009942
Jaguar,E-Pace,2022,21,2022 (72 reg),Auto,Hybrid,Harrogate ,28750,1.5,5,Euro 6 (s/s),P300e 1kWh R-Dynamic SE Auto AWD,10.266427828229292
Citroen,C3,2021,70,2021 (21 reg),Manual,Petrol,Leeds ,7980,1.2,5,Euro 6 (s/s),PureTech Shine,8.984818995876008
Audi,A1,2013,92,2013 (13 reg),Manual,Diesel,Chesterfield ,4495,1.6,5,Unknown,TDI Sport,8.410943391573527
Volvo,EX30,2025,3,2025 (25 reg),Auto,Electric,Wakefield ,34995,1.6,5,Unknown,"- Ultra Twin Motor Performance, Electric DELIVERY MILES",10.462989048226156
Citroen,C4 Grand Picasso,2015,130,2015 (15 reg),Manual,Diesel,Dalton Magna ,3995,1.6,5,Unknown,e-HDi 115 Exclusive+,8.293049139768444
Renault,Grand Scenic,2011,123,2011 (61 reg),Manual,Diesel,Oldham ,2395,1.6,5,Euro 5 (s/s),dCi Dynamique TomTom,7.78155595923534
Volvo,EX30,2025,3,2025 (25 reg),Auto,Electric,Wakefield ,30950,1.6,5,Unknown,"- Plus, Single Motor Extended Range Electric DELIVERY MILES",10.340160587768485
MG,MG HS,2025,645,2025 (25 reg),Auto,Hybrid,Wakefield ,29990,1.5,5,Unknown,- T-GDI PHEV Trophy Auto,10.30865261563529
BMW,M2,2024,3,2024 (74 reg),Auto,Petrol,Cleckheaton ,60995,1.6,3,Unknown,- BiTurbo,11.018563567234903
Skoda,Superb,2018,130,2018 (67 reg),Auto,Diesel,Wakefield ,7990,2.0,5,Unknown,TDI CR 190 SE L Executive DSG,8.986071187374463
BMW,1 Series,2014,110,2014 (14 reg),Manual,Diesel,Sheffield ,4995,1.2,5,Unknown,M Sport,8.516392871245468
Skoda,Yeti,2014,45,2014 (14 reg),Auto,Diesel,Castleford ,11990,2.0,5,Unknown,- TDI CR [140] SE 4x4 DSG -FSH INCL TIMING BELT-,9.391911647379434
Jeep,Renegade,2016,68,2016 (16 reg),Manual,Petrol,Rotherham ,6290,1.6,5,Euro 6 (s/s),E-TorQ Sport,8.74687531957003
BMW,X3,2014,85,2014 (64 reg),Auto,Diesel,Leeds ,11799,2.0,5,Euro 6 (s/s),- 20d M Sport Auto xDrive,9.375854810453756
Citroen,C4 Grand Picasso,2016,39,2016 (16 reg),Manual,Diesel,Castleford ,8990,1.6,5,Unknown,- BlueHDi Selection -FULL SERVICE HISTORY-,9.103979355984773
Mercedes-Benz,SLK,2009,99,2009 (9 reg),Auto,Petrol,Dalton Magna ,3995,1.6,2,Unknown,SLK 200K Tip Auto,8.293049139768444
Mercedes-Benz,GLA,2015,125,2015 (15 reg),Auto,Diesel,Castleford ,6490,1.6,5,Unknown,- GLA200 CDI SPORT EXECUTIVE,8.778171881033469
Vauxhall,Crossland X,2020,32,2020 (20 reg),Manual,Petrol,Leeds ,9485,1.2,5,Unknown,- ELITE NAV [SAT NAV & STUNNING EXAMPLE],9.157572306437528
Volkswagen,Tiguan,2016,110,2016 (16 reg),Auto,Diesel,Ossett ,9995,2.0,5,Unknown,- TDi 150 4Motion SEL DSG,9.209940291954844
BMW,1 Series,2015,76,2015 (65 reg),Manual,Petrol,Oldham ,8796,1.5,5,Euro 6 (s/s),118i M Sport,9.082166033252674
Mercedes-Benz,C-Class,2018,138,2018 (68 reg),Auto,Diesel,Bradford ,10650,2.0,4,Euro 6 (s/s),C220d AMG Line G-Tronic+,9.273409063443166
Vauxhall,Grandland X,2019,113,2019 (19 reg),Manual,Petrol,Leeds ,5995,1.2,5,Unknown,Turbo Sport Nav,8.698847859222488
Vauxhall,Corsa,2017,64,2017 (67 reg),Manual,Petrol,Swinton ,5250,1.4,5,Unknown,- i ecoTEC SRi Hatchback A/C,8.566173813637858
Vauxhall,Mokka,2021,49,2021 (71 reg),Manual,Petrol,Doncaster ,12999,1.2,5,Unknown,- Turbo SRi Nav Premium,9.472704636443673
Volvo,EX30,2025,50,2025 (25 reg),Auto,Electric,Doncaster ,30995,1.6,5,Unknown,"- Plus, Single Motor Extended Range, Electric",10.34161344288384
Vauxhall,Corsa,2012,66,2012 (62 reg),Manual,Petrol,Sheffield ,3195,1.2,5,Euro 5,16V SXi (A/C),8.069655306886165
Citroen,C4 Grand Picasso,2018,91,2018 (18 reg),Manual,Diesel,Hyde ,8295,1.6,5,Euro 6 (s/s),BlueHDi Flair,9.023528749909364
Honda,HR-V,2017,105,2017 (17 reg),Manual,Diesel,Keighley ,5989,1.6,5,Euro 6 (s/s),i-DTEC EX,8.697846691109495
Jaguar,F-Type,2015,10,2015 (65 reg),Auto,Petrol,Harrogate ,39989,5.0,2,Euro 6 (s/s),V8 R Auto,10.596384701840863
Volvo,EX30,2025,50,2025 (25 reg),Auto,Electric,Doncaster ,34995,1.6,5,Unknown,"- Ultra, Twin Motor Performance, Electric",10.462989048226156
MINI,Cooper,2025,49,2025 (25 reg),Auto,Electric,Doncaster ,27990,1.6,3,Unknown,- 135kW E Exclusive [Level 1] 41kWh Auto,10.239638308916676
Audi,Q7,2023,25,2023 (72 reg),Auto,Petrol,Sheffield ,42980,3.0,5,Euro 6 (s/s),- TFSI V6 55 S line SUV Petrol Tiptronic quattro (340 ps,10.668513436561481
Volkswagen,Golf,2019,32,2019 (68 reg),Manual,Petrol,Oldham ,13999,1.5,5,Euro 6 (s/s),TSI EVO Match Hatchback Petrol Manual (130 ps),9.546812608597396
Ford,Fiesta,2018,61,2018 (68 reg),Manual,Petrol,Pontefract ,7595,1.0,3,Euro 6 (s/s),EcoBoost Titanium,8.935377071932177
Ford,Fiesta,2015,21,2015 (15 reg),Manual,Petrol,oldham ,7500,1.0,5,Unknown,- T EcoBoost Zetec,8.922791623969637
Ford,Mustang,2022,10,2022 (72 reg),Auto,Petrol,Oldham ,41949,5.0,2,Euro 6,V8 GT Fastback Petrol SelShift (450 ps),10.644233711895351
Tesla,Model 3,2022,26,2022 (22 reg),Auto,Electric,Oldham ,21599,1.6,4,Unknown,(Dual Motor) Long Range Saloon Electric Auto 4WDE (346 ps),9.980448593672257
MINI,Cooper,2025,640,2025 (25 reg),Auto,Electric,Doncaster ,28199,1.6,3,Unknown,- 135kW E Exclusive [Level 1] 41kWh Auto,10.247077256926206
SEAT,Ibiza,2025,125,2025 (25 reg),Auto,Petrol,Sheffield ,20269,1.0,5,Euro 6,- Tsi Fr Sport Hatchback Petrol Dsg s/s 115 Ps,9.916897239446046
Ford,Puma,2025,12,2025 (25 reg),Manual,Hybrid,Goole ,23821,1.0,5,Unknown,Puma ST-Line L EcoBoost 125PS mHEV 6 Speed Manual,10.078364802440847
BMW,3 Series,2015,137,2015 (15 reg),Auto,Diesel,Bradford ,8375,3.3,5,Unknown,xDrive M Sport Step Auto [Business Media],9.033125752550372
Toyota,Yaris,2002,70,2002 (2 reg),Manual,Petrol,Bradford ,2799,1.3,5,Unknown,16v VVTi CDX,7.937374696163295
Volkswagen,Tiguan,2014,82,2014 (14 reg),Manual,Diesel,Doncaster ,6495,2.0,5,Euro 5 (s/s),TDI BlueMotion Tech Match 2WD,8.778941881841513
Audi,Q5,2015,92,2015 (15 reg),Manual,Diesel,Huddersfield ,10995,2.0,5,Euro 6 (s/s),- TDI SE SUV Diesel Manual quattro (190 ps),9.305286849285137
Audi,A4,2012,55,2012 (12 reg),Auto,Diesel,Dalton Magna ,5995,2.0,4,Unknown,TDI 143 SE Multitronic,8.698847859222488
Hyundai,i10,2018,28,2018 (18 reg),Auto,Petrol,Rochdale ,8979,1.2,5,Euro 6,Premium Auto,9.102755161296246
Land Rover,Range Rover Evoque,2014,111,2014 (14 reg),Manual,Diesel,Rotherham ,6990,2.2,5,Euro 5 (s/s),SD4 Dynamic 4WD,8.852378886511985
Nissan,X-Trail,2014,141,2014 (14 reg),Manual,Diesel,Wakefield ,4395,2.0,5,Euro 5,dCi Tekna 4WD (AVM),8.388450315523512
Tesla,Model Y,2022,31,2022 (72 reg),Auto,Electric,Oldham ,24999,1.6,5,Unknown,(Dual Motor) Long Range SUV Electric Auto 4WDE (384 bhp),10.126631103850338
Volkswagen,Golf,2021,16,2021 (21 reg),Auto,Petrol,Manchester ,22250,2.0,5,Unknown,TSI GTI DSG,10.010142230404668
Volkswagen,Tiguan,2014,115,2014 (64 reg),Manual,Diesel,Halifax ,6295,2.0,5,Euro 5 (s/s),TDI BlueMotion Tech R-Line 4WD (Nav),8.74766979009724
Lotus,Exige,2020,14,2020 (20 reg),Manual,Petrol,Bradford ,50990,3.5,2,Unknown,- V6 350 Sport,10.839404425545462
Volkswagen,Golf,2013,104,2013 (13 reg),Manual,Diesel,Doncaster ,4595,2.0,2,Unknown,TDI BlueMotion Tech GT,8.432941638968646
Audi,RS3,2020,35,2020 (69 reg),Auto,Petrol,Rochdale ,31995,1.6,4,Unknown,RS 3 TFSI 400 Quattro S Tronic,10.373366173968712
DS,Automobiles DS 3,2016,52,2016 (16 reg),Manual,Petrol,Sheffield ,4890,1.2,3,Euro 6,PureTech Chic,8.495152060539358
Vauxhall,Adam,2015,51,2015 (15 reg),Manual,Petrol,Cleckheaton ,4745,1.2,3,Euro 5,16v SLAM,8.465057436995709
Volvo,EX30,2025,261,2025 (25 reg),Auto,Electric,Wakefield ,31950,1.6,5,Unknown,"- Ultra, Single Motor Extended Range, Electric",10.37195875822042
Jaguar,I-Pace,2020,35,2020 (70 reg),Auto,Electric,Sheffield ,19750,1.6,5,Unknown,- SE 1 OWNER AIR SUSPENSION BLACK PACK,9.890959401958858
Volkswagen,Passat,2020,60,2020 (70 reg),Auto,Diesel,Castleford ,23500,2.0,5,Euro 6 (s/s),BiTDI R-Line Edition DSG 4Motion,10.064798252418377
Kia,Picanto,2023,11,2023 (23 reg),Manual,Petrol,Doncaster ,14365,1.0,5,Unknown,- GDi GT-line S [4 seats] Manual,9.572619582634747
BMW,1 Series,2013,69,2013 (63 reg),Auto,Petrol,Huddersfield ,12495,3.0,5,Euro 6 (s/s),M135i Auto,9.433163872079467
BMW,X6,2018,73,2018 (18 reg),Auto,Diesel,Bradford ,26250,3.0,5,Euro 6 (s/s),M50d SUV Diesel Auto xDrive (381 ps),10.17545936253226
Volkswagen,Polo,2024,5,2024 (24 reg),Manual,Petrol,Sheffield ,18828,1.0,5,Euro 6 (s/s),TSI R-Line,9.843153513496429
Kia,Sportage,2014,97,2014 (14 reg),Manual,Diesel,Oldham ,5395,1.7,5,Euro 5 (s/s),CRDi EcoDynamics White Edition 2WD,8.593413217327646
Renault,Captur,2017,67,2017 (17 reg),Auto,Diesel,Oldham ,7994,1.5,5,Euro 6 (s/s),dCi ENERGY Dynamique Nav Auto,8.986571625268054
Ford,Mondeo,2016,117,2016 (16 reg),Auto,Diesel,Leeds ,8490,2.0,4,Unknown,TDCi (210 BHP) POWERSHIFT SALOON + QUILTED LEATHER + NAV +,9.046762057999363
BMW,3 Series,2015,145,2015 (65 reg),Auto,Diesel,Ossett ,10995,3.4,4,Unknown,- 335d xDrive M Sport Step Auto,9.305286849285137
Skoda,Fabia,2025,0,2025 (25 reg),Manual,Petrol,Wakefield ,19244,1.0,5,Unknown,- TSI 116 Design Edition Manual,9.865006565717847
Peugeot,208,2014,76,2014 (14 reg),Manual,Petrol,Batley ,2999,1.0,5,Unknown,VTi Active,8.006367567650246
Ford,Mondeo,2013,130,2013 (63 reg),Auto,Diesel,Ossett ,3495,2.0,5,Unknown,- TDCi 163 Titanium X Sport Powershift,8.159374736775426
Audi,A3,2017,72,2017 (17 reg),Manual,Diesel,Keighley ,10989,1.6,4,Euro 6 (s/s),TDI Black Edition,9.304741047397666
Volkswagen,Polo,2011,130,2011 (61 reg),Manual,Petrol,Bradford ,2495,1.4,5,Unknown,Match,7.822444729489319
Land Rover,Range Rover Velar,2018,39,2018 (18 reg),Auto,Diesel,Oldham ,28949,3.0,5,Euro 6 (s/s),D300 V6 R-Dynamic HSE SUV Diesel Auto 4WD (300 ps),10.273325483001141
SEAT,Mii,2015,77,2015 (15 reg),Manual,Petrol,Sheffield ,5500,1.0,5,Euro 5,12v I TECH Hatchback Petrol Manual (60 ps),8.612685172875459
Mazda,CX-60,2025,370,2025 (25 reg),Auto,Hybrid,Woodkirk ,32495,2.5,5,Unknown,e-SKYACTIV 1kWh Exclusive-Line SUV Petrol Plug-in Hybrid Auto 4W,10.388872283820167
Volkswagen,Polo,2010,100,2010 (60 reg),Manual,Petrol,Bradford ,2000,1.2,5,Euro 5,Moda Hatchback Petrol Manual (60 ps),7.601402334583733
BMW,X1,2017,17,2017 (67 reg),Auto,Diesel,Rotherham ,15790,2.0,5,Euro 6 (s/s),18d SE Auto sDrive,9.667195436466644
Honda,Jazz,2025,3,2025 (25 reg),Auto,Hybrid,Sheffield ,24999,1.5,5,Euro 6 (s/s),h i-MMD Elegance eCVT,10.126631103850338
Land Rover,Range Rover Sport,2022,30,2022 (71 reg),Auto,Hybrid,Sheffield ,41980,2.0,5,Unknown,- P400e 1kWh HSE Dynamic Black SUV Petrol Plug-in Hybrid Auto 4WD,10.64497241395799
BMW,X1,2021,122,2021 (21 reg),Auto,Hybrid,Keighley ,11989,1.5,5,Euro 6 (s/s),25e 10kWh M Sport Auto xDrive,9.39182824802156
Volvo,EX30,2025,477,2025 (25 reg),Auto,Electric,York ,31450,1.6,5,Unknown,200kW SM Extended Range Ultra 69kWh Auto,10.356186058125473
MINI,Hatch,2016,80,2016 (16 reg),Manual,Petrol,Leeds ,5740,1.5,5,Euro 6 (s/s),Cooper,8.655388690167637
Renault,Megane,2014,80,2014 (64 reg),Manual,Diesel,Yeadon ,3240,1.5,3,Euro 5 (s/s),dCi ENERGY Dynamique TomTom,8.083637203141548
Land Rover,Discovery Sport,2018,45,2018 (68 reg),Auto,Petrol,Harrogate ,18489,2.0,5,Euro 6 (s/s),Si4 HSE Auto 4WD,9.82498532438117
Vauxhall,Insignia,2014,140,2014 (64 reg),Manual,Diesel,Goole ,2495,2.0,5,Unknown,Insignia Estate Car CDTi [140] ecoFLEX Tech Line [Start Stop],7.822444729489319
Nissan,Qashqai,2019,53,2019 (19 reg),Auto,Diesel,Durkar ,11590,1.5,5,Euro 6 (s/s),- dCi Acenta Premium DCT Auto,9.357984213888745
Nissan,X-Trail,2019,66,2019 (69 reg),Manual,Diesel,Yeadon ,12495,1.7,5,Euro 6 (s/s),dCi N-Connecta,9.433163872079467
MINI,Clubman,2019,114,2019 (19 reg),Manual,Diesel,Rotherham ,8000,2.0,6,Euro 6 (s/s),Cooper D Classic,8.987321812850125
Audi,SQ5,2017,87,2017 (17 reg),Auto,Diesel,Castleford ,18995,3.0,5,Euro 6 (s/s),BiTDI V6 Plus Tiptronic quattro,9.851983709669012
Mercedes-Benz,M-Class,2015,69,2015 (65 reg),Auto,Diesel,Castleford ,15990,1.6,5,Unknown,- ML350 CDi BlueTEC AMG Line Auto [Premium Plus] - FSH -,9.679781342959442
Mercedes-Benz,CLA,2014,136,2014 (64 reg),Auto,Diesel,Ossett ,8795,1.6,4,Unknown,- CLA 220 CDI AMG Sport Tip Auto,9.082052351674651
BMW,X1,2015,119,2015 (15 reg),Manual,Diesel,Sheffield ,4199,2.0,5,Euro 5 (s/s),20d ED EfficientDynamics sDrive,8.34283980427146
Ford,Fiesta,2014,72,2014 (14 reg),Manual,Petrol,Rochdale ,3885,1.2,5,Unknown,5 Style,8.265135629937385
Nissan,Qashqai,2016,80,2016 (66 reg),Manual,Diesel,Rotherham ,5990,1.5,5,Euro 6 (s/s),dCi Acenta 2WD,8.698013622083925
Volkswagen,T-Cross,2025,809,2025 (25 reg),Manual,Petrol,Crosshills ,21796,1.0,5,Unknown,TSI 115 Match Petrol Estate,9.989527624628513
SEAT,Ibiza,2012,38,2012 (62 reg),Manual,Petrol,Leeds ,5895,1.4,5,Euro 5,SE Hatchback Petrol Manual (85 ps),8.682029433869172
MG,MG3,2025,10,2025 (25 reg),Auto,Hybrid,Rochdale ,18995,1.5,5,Euro 6 (s/s),Hybrid+ MHEV Trophy Hatchback Petrol Hybrid Auto (194,9.851983709669012
MG,MG3,2025,10,2025 (25 reg),Auto,Hybrid,Rochdale ,18995,1.5,5,Euro 6 (s/s),Hybrid+ MHEV Trophy Hatchback Petrol Hybrid Auto (194,9.851983709669012
Land Rover,Range Rover Evoque,2016,99,2016 (16 reg),Auto,Diesel,Keighley ,8989,2.0,5,Euro 6 (s/s),TD4 HSE Dynamic Lux Auto 4WD,9.103868127465667
Fiat,Panda,2015,53,2015 (15 reg),Manual,Petrol,Wakefield ,3990,1.2,5,Unknown,- Pop ## £35 ROAD TAX - FSH ##,8.291797105048733
Nissan,Juke,2025,3,2025 (25 reg),Manual,Petrol,Leeds ,19299,1.0,5,Unknown,- Dig-T N-Connecta,9.867860374892977
Ford,Fiesta,2016,56,2016 (16 reg),Manual,Petrol,Rochdale ,5497,1.0,3,Euro 6 (s/s),EcoBoost Titanium,8.612139668725192
Volkswagen,Tiguan,2012,122,2012 (62 reg),Auto,Diesel,Dalton Magna ,4995,2.0,5,Unknown,TDi BlueMotion Tech SE DSG,8.516392871245468
Dacia,Sandero Stepway,2017,73,2017 (66 reg),Manual,Petrol,Greater Manchester ,5295,0.9,5,Euro 6 (s/s),TCe Laureate,8.574707097616844
MG,MG3,2025,10,2025 (25 reg),Auto,Hybrid,Hyde ,18995,1.5,5,Euro 6 (s/s),Hybrid+ MHEV Trophy Auto,9.851983709669012
Jaguar,I-Pace,2020,41,2020 (20 reg),Auto,Electric,Oldham ,14994,1.6,5,Unknown,400 90kWh S Auto 4WD,9.61547209118311
Peugeot,RCZ,2014,87,2014 (14 reg),Manual,Diesel,Rochdale ,4979,2.0,2,Euro 5,HDi GT,8.513185170018698
Ford,Focus,2013,105,2013 (13 reg),Manual,Diesel,Sheffield ,3390,1.6,5,Euro 5 (s/s),TDCi Zetec S,8.128880142125638
Tesla,Model Y,2022,32,2022 (72 reg),Auto,Electric,Oldham ,24299,1.6,5,Unknown,(Dual Motor) Long Range SUV Electric Auto 4WDE (384 bhp),10.09823162932864
Nissan,Juke,2016,62,2016 (16 reg),Auto,Petrol,Oldham ,7495,1.6,5,Euro 6,Tekna XTRON,8.922124823918258
Mercedes-Benz,C-Class,2015,62,2015 (15 reg),Auto,Diesel,Sheffield ,11950,2.1,4,Euro 6 (s/s),C250 BlueTEC Sport G-Tronic+,9.388570235866881
BMW,5 Series,2025,2,2025 (25 reg),Auto,Petrol,Doncaster ,48990,1.6,4,Unknown,- 520i M Sport Pro Auto,10.79939188675334
Nissan,Juke,2013,56,2013 (63 reg),Manual,Diesel,Sheffield ,4599,1.5,5,Euro 5 (s/s),dCi 8v Acenta Premium,8.433811582477187
Audi,RS3,2015,67,2015 (65 reg),Auto,Petrol,Bradford ,19999,2.5,5,Unknown,TFSI RS 3 Quattro S Tronic [Nav],9.903487552536127
Renault,Modus,2005,71,2005 (5 reg),Manual,Petrol,Leeds ,1795,1.2,5,Unknown,Expression,7.493317248862145
Citroen,C3,2017,66,2017 (67 reg),Manual,Petrol,Rochdale ,4985,1.2,5,Unknown,PureTech 82 Feel,8.514389264083503
BMW,1 Series,2018,70,2018 (18 reg),Auto,Petrol,Leeds ,17485,1.6,5,Unknown,"- M140I [5X SERVICES, SAT NAV & BODY KIT]",9.769155839740836
Jaguar,XE,2017,60,2017 (17 reg),Manual,Diesel,Sheffield ,9295,2.0,4,Unknown,d [180] R-Sport,9.137339479091693
Ford,Focus,2025,10,2025 (25 reg),Auto,Petrol,Sheffield ,25750,1.0,5,Unknown,- Ecoboost Hybrid Mhev 155 St-Line X Auto,10.156228740289281
Audi,A1,2013,136,2013 (13 reg),Manual,Diesel,Bradford ,3199,1.6,5,Unknown,2013 TDI Sport SILVER SAT NAV £25 TAX MOT AUGUST 2026,8.070906088787819
Citroen,C4 Cactus,2015,90,2015 (65 reg),Manual,Diesel,Sheffield ,3795,1.6,5,Euro 6 (s/s),BlueHDi Feel,8.241703159729818
Vauxhall,Corsa,2015,52,2015 (15 reg),Manual,Petrol,Leeds ,5349,1.4,5,Euro 6,- i ecoFLEX Excite (a/c),8.584851839890053
Mercedes-Benz,E-Class,2019,24,2019 (19 reg),Auto,Petrol,Oldham ,23999,2.0,2,Euro 6 (s/s),E300 GPF AMG Line Coupe Petrol G-Tronic+ (245 ps),10.085809109330082
Ford,Kuga,2019,56,2019 (69 reg),Manual,Diesel,Oldham ,10999,2.0,5,Euro 6 (s/s),TDCi EcoBlue Titanium Edition SUV Diesel Manual (150 p,9.305650551780507
Fiat,500,2015,57,2015 (64 reg),Manual,Petrol,Wakefield ,3690,1.2,3,Unknown,- Pop [Start Stop] ## £35 ROAD TAX - STUNNING CAR ##,8.213652703029998
Audi,A3 Cabriolet,2012,90,2012 (12 reg),Auto,Diesel,Cleckheaton ,4350,2.0,2,Euro 5 (s/s),TDI S line S Tronic,8.37816098272068
Volvo,XC60,2024,877,2024 (74 reg),Auto,Petrol,Doncaster ,47990,2.0,5,Unknown,- B5P Ultra Dark AWD Geartronic,10.778768772309705
BMW,2 Series,2019,43,2019 (69 reg),Auto,Petrol,Oldham ,16490,2.0,2,Euro 6 (s/s),- 220i GPF M Sport Auto,9.71057005652877
BMW,X3,2008,107,2008 (58 reg),Manual,Diesel,Bradford ,3995,2.0,5,Euro 4,- d M Sport 4WD,8.293049139768444
Ford,Grand C-Max,2015,103,2015 (15 reg),Manual,Diesel,Dalton Magna ,3995,1.5,5,Unknown,TDCi Zetec,8.293049139768444
BMW,3 Series,2015,82,2015 (65 reg),Auto,Petrol,"Holmfirth, Hepworth ",8800,1.5,5,Unknown,- 318i Sport Touring,9.082620630373812
Audi,Q5,2010,93,2010 (59 reg),Auto,Petrol,Bradford ,5999,2.0,5,Unknown,2010 FSI Quattro S Line S Tronic BLACK FULL LEATHER SAT NAV,8.699514748210191
Volvo,XC90,2013,92,2013 (13 reg),Auto,Diesel,Doncaster ,9895,2.4,5,Unknown,D5 [200] SE Lux Geartronic,9.199885914072324
Land Rover,Discovery Sport,2015,37,2015 (65 reg),Auto,Diesel,Rotherham ,13990,2.0,5,Euro 6 (s/s),TD4 HSE Black Auto 4WD,9.546169544733285
BMW,2 Series,2025,3,2025 (74 reg),Auto,Not Supplied,Doncaster ,35000,1.6,5,Unknown,- 225e xDrive M Sport DCT,10.463131911491967
Land Rover,Range Rover,2014,162,2014 (14 reg),Auto,Diesel,Dalton Magna ,10995,4.4,4,Unknown,SDV8 Autobiography Auto,9.305286849285137
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Bradford ,24950,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.124669180536797
